TID: [2023-05-08 21:52:17,373]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Windows 10 10.0, amd64
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : C:\Program Files\Java\jdk-17
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 17.0.6
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : Java HotSpot(TM) 64-Bit Server VM 17.0.6+9-LTS-190,Oracle Corporation
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : C:\PROGRA~1\WSO2\WSO2AM~1.0\bin\..
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : C:\PROGRA~1\WSO2\WSO2AM~1.0\bin\..\tmp
TID: [] [] [2023-05-08 21:52:22,896]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : joaoc, en-GB, Europe/Lisbon
TID: [] [] [2023-05-08 21:52:23,056]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [] [] [2023-05-08 21:52:23,330]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2023-05-08 21:52:23,456]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} - Successfully deployed the execution manager tracker service
